coupon_rate,maturity,yield_rate,duration,convexity,price
0.062,2.3135,0.0674,1.8488,4.4027,99.0052
0.0773,21.0048,0.069,10.7591,170.9441,109.1347
0.0555,5.2676,0.0674,4.2725,21.7752,95.019
0.0681,24.9117,0.0667,11.9397,215.5283,101.6783
0.075,18.4066,0.0702,9.994,142.4173,104.8627
0.0645,1.9658,0.074,1.4014,2.6741,98.6743
0.0694,24.5969,0.0731,11.436,201.833,95.8101
0.0607,5.5633,0.0732,4.5644,25.0647,94.4229
0.0733,24.3806,0.0663,11.7004,206.5622,108.3514
0.0564,22.1821,0.0708,11.6009,197.3753,84.0622
0.0538,29.1253,0.0676,13.1957,272.9803,82.5548
0.0728,5.7577,0.067,4.4919,24.5493,102.632
0.0616,28.3833,0.0692,12.5661,248.1949,90.6521
0.0665,34.5927,0.0683,13.2518,292.4174,97.6243
0.057,38.8994,0.0659,14.2208,343.076,87.6074
0.0631,23.0418,0.0658,11.8695,207.9245,96.8223
0.069,32.1396,0.072,12.5276,259.671,96.2666
0.0526,16.4654,0.0655,10.2792,140.6143,87.328
0.0738,30.4695,0.0695,12.411,248.7361,105.3902
0.0778,1.922,0.0653,1.3994,2.6761,101.7589
0.06,12.2601,0.0719,8.2343,87.5277,90.5399
0.0511,33.1773,0.0726,13.2101,289.5883,73.2005
0.0623,13.4565,0.072,8.5967,97.1318,91.8992
0.0675,14.6037,0.0738,8.9758,109.3448,94.4482
0.0596,6.7406,0.0674,5.2796,33.6102,95.9488
0.0687,0.6078,0.074,0.4822,0.465,99.7445
0.0771,20.6051,0.0726,10.4553,161.9512,104.7616
0.0522,16.0903,0.0685,10.1905,138.8687,84.3043
0.0559,21.8398,0.0731,11.3735,189.5821,81.4967
0.0563,21.4456,0.0691,11.4783,189.8718,85.9242
0.0539,27.8467,0.0677,12.9633,259.4126,82.8828
0.0723,1.2375,0.075,0.947,1.3611,99.7445
0.0775,2.2779,0.0667,1.831,4.3464,101.9913
0.0727,26.1355,0.0686,11.9244,220.3899,104.9419
0.0775,9.5633,0.0747,6.6726,57.1273,101.8808
0.0508,18.8528,0.0672,11.142,170.708,82.7803
0.0684,25.9849,0.0652,12.2371,227.7411,103.9522
0.07,14.0452,0.0674,8.9034,106.108,102.3326
0.0565,8.8679,0.0724,6.5242,52.2205,90.0369
0.0553,3.488,0.074,2.6995,8.8986,95.0504
0.0673,4.2519,0.069,3.4521,14.4356,99.4145
0.0568,35.3895,0.065,14.0503,324.6857,88.7292
0.0655,1.4155,0.0737,0.9491,1.3657,99.2232
0.067,17.8371,0.0713,10.0386,141.7319,95.7389
0.0624,18.4367,0.0699,10.3966,151.5671,92.3856
0.0592,13.9493,0.0737,8.8459,103.2946,87.7314
0.0537,13.1389,0.0723,8.8465,101.3285,84.4923
0.077,5.514,0.0725,4.4357,24.0883,102.0116
0.0579,22.5572,0.0733,11.4803,196.3436,83.1493
0.0608,8.8871,0.0753,6.4206,51.0209,91.0169
0.0595,1.3799,0.0696,0.9524,1.3737,99.0404
0.0608,12.4052,0.0743,8.1658,86.4589,89.4013
0.0513,3.3265,0.0689,2.7196,9.0027,95.3024
0.0631,10.8309,0.072,7.4597,70.7442,93.5206
0.0743,5.8371,0.071,4.4629,24.3035,101.4812
0.0729,6.2669,0.0715,4.7979,28.1467,100.6735
0.0593,24.9363,0.0664,12.2967,226.3196,91.4652
0.0776,31.1759,0.0733,12.072,240.7139,105.2365
0.0593,6.1054,0.0717,4.9263,29.2043,94.0386
0.0611,14.768,0.0728,9.1916,113.3344,89.6271
0.0771,23.0445,0.0722,11.0011,184.3055,105.4588
0.0569,2.4175,0.0672,1.8553,4.4239,98.1021
0.0531,2.2368,0.0688,1.8586,4.4321,97.1125
0.0669,22.1793,0.0749,10.9463,180.1098,91.4377
0.0592,9.8371,0.0679,7.0819,62.3182,93.9816
0.0623,9.4949,0.0737,6.6852,55.7209,92.5959
0.0712,12.7228,0.0708,8.196,88.7139,100.3282
0.0561,28.23,0.0661,13.0841,264.8212,87.3205
0.0551,7.1348,0.0687,5.6552,38.4933,92.5416
0.0605,10.2313,0.071,7.2796,66.5795,92.5721
0.0715,5.7358,0.0662,4.5055,24.6582,102.4104
0.0582,8.4326,0.0728,6.1992,47.0204,91.2634
0.0664,31.6167,0.0717,12.5854,260.4158,93.4117
