PnL_Bucket,ScenarioCount
"(-3408873.99, -2932123.404]",4
"(-2932123.404, -2464720.868]",8
"(-2464720.868, -1997318.332]",35
"(-1997318.332, -1529915.797]",43
"(-1529915.797, -1062513.261]",98
"(-1062513.261, -595110.726]",125
"(-595110.726, -127708.19]",138
"(-127708.19, 339694.345]",160
"(339694.345, 807096.881]",115
"(807096.881, 1274499.417]",90
"(1274499.417, 1741901.952]",79
"(1741901.952, 2209304.488]",49
"(2209304.488, 2676707.023]",31
"(2676707.023, 3144109.559]",12
"(3144109.559, 3611512.095]",4
"(3611512.095, 4078914.63]",7
"(4078914.63, 4546317.166]",1
"(4546317.166, 5013719.701]",0
"(5013719.701, 5481122.237]",0
"(5481122.237, 5948524.772]",1
