ScenarioID,ParallelShift_bps,TwistFactor_bps,ButterflyFactor_bps,PnL_DurationEffect_INR,PnL_ConvexityEffect_INR,PnL_Total_INR,PnL_Pct,VaR_Contribution,YieldChange,PortfolioPnL_INR,Loss_INR,PnL_Bucket
1,-50.28,-43.61,-6.73,677553.73,17857.27,695411.01,2.1691,695411.01,-0.005028,695376.0849308727,-695376.0849308727,"(339694.345, 807096.881]"
2,-103.23,-5.91,3.08,1391064.43,75270.04,1466334.46,4.5738,1466334.46,-0.010323,1466284.2931567195,-1466284.2931567195,"(1274499.417, 1741901.952]"
3,-48.2,35.5,-36.27,649560.04,16412.18,665972.21,2.0773,665972.21,-0.0048200000000000005,665901.437783631,-665901.437783631,"(339694.345, 807096.881]"
4,43.03,22.37,61.3,-579832.59,13077.75,-566754.84,-1.7678,566754.84,0.004303,-566749.7328088355,566749.7328088355,"(-595110.726, -127708.19]"
5,-5.52,-51.75,-16.79,74315.99,214.83,74530.82,0.2325,74530.82,-0.000552,74596.9454866546,-74596.9454866546,"(-127708.19, 339694.345]"
6,21.14,-14.71,-63.45,-284869.2,3156.59,-281712.6,-0.8787,281712.6,0.002114,-281704.1012318637,281704.1012318637,"(-595110.726, -127708.19]"
7,-13.86,-51.24,20.73,186765.86,1356.82,188122.68,0.5868,188122.68,-0.0013859999999999999,188119.61372867707,-188119.61372867707,"(-127708.19, 339694.345]"
8,-115.97,26.34,20.02,1562717.12,94992.29,1657709.42,5.1708,1657709.42,-0.011597,1657679.0029476527,-1657679.0029476527,"(1274499.417, 1741901.952]"
9,121.75,-4.45,-35.68,-1640530.61,104687.86,-1535842.75,-4.7906,1535842.75,0.012175,-1535882.1458727072,1535882.1458727072,"(-1997318.332, -1529915.797]"
10,199.91,-40.87,-15.71,-2693721.28,282249.35,-2411471.94,-7.5219,2411471.94,0.019991,-2411517.2903713128,2411517.2903713128,"(-2464720.868, -1997318.332]"
11,142.59,2.97,-2.72,-1921380.17,143599.93,-1777780.24,-5.5453,1777780.24,0.014259,-1777791.914382707,1777791.914382707,"(-1997318.332, -1529915.797]"
12,61.34,-62.95,9.16,-826579.46,26576.44,-800003.02,-2.4954,800003.02,0.0061340000000000006,-799978.8698435542,799978.8698435542,"(-1062513.261, -595110.726]"
13,57.35,-16.99,12.26,-772852.45,23233.83,-749618.62,-2.3382,749618.62,0.0057350000000000005,-749558.5932657227,749558.5932657227,"(-1062513.261, -595110.726]"
14,-71.87,-92.86,3.3,968408.61,36479.17,1004887.77,3.1345,1004887.77,-0.007187000000000001,1004926.6280348214,-1004926.6280348214,"(807096.881, 1274499.417]"
15,-42.57,62.82,-49.2,573654.22,12800.53,586454.75,1.8293,586454.75,-0.004257,586428.0833873905,-586428.0833873905,"(339694.345, 807096.881]"
16,6.08,14.11,52.42,-81949.38,261.23,-81688.15,-0.2548,81688.15,0.000608,-81666.62172736335,81666.62172736335,"(-127708.19, 339694.345]"
17,47.92,34.79,-27.09,-645684.27,16216.91,-629467.36,-1.9634,629467.36,0.004792,-629501.0720074128,629501.0720074128,"(-1062513.261, -595110.726]"
18,-109.94,52.62,31.25,1481469.03,85371.47,1566840.5,4.8873,1566840.5,-0.010994,1566803.7404028783,-1566803.7404028783,"(1274499.417, 1741901.952]"
19,-14.75,30.56,35.97,198773.49,1536.9,200310.38,0.6248,200310.38,-0.001475,200292.16239993332,-200292.16239993332,"(-127708.19, 339694.345]"
20,-79.53,83.7,9.07,1071599.14,44667.57,1116266.71,3.4819,1116266.71,-0.007953,1116335.7386272494,-1116335.7386272494,"(807096.881, 1274499.417]"
