BondID,ISIN,Issuer,Sector,CreditRating,Currency,FaceValue,CouponRate,CouponFrequency,BondType,IssueDate,MaturityDate,ValuationDate,YearsToMaturity,OriginalMaturityYears,YieldToMaturity,CleanPrice,AccruedInterest,DirtyPrice,MacaulayDuration,ModifiedDuration,Convexity,DV01_Per100Face,EffectiveDuration,EffectiveConvexity,SpreadOverBenchmark_bps,OAS_bps,ZSpread_bps,KeyRateBucket,Quantity,MarketValue_LocalCcy,MarketValue_INR,PortfolioWeight,IsCallable,CallDate,IsPutable,IsFloatingRate,BenchmarkIndex,PriceChange_Up50bps,PriceChange_Dn50bps,PriceChange_Up100bps,PriceChange_Dn100bps,PriceChange_Up200bps,PriceChange_Dn200bps,CalculatedPrice,CalculatedMacaulayDuration,CalculatedModifiedDuration,CalculatedConvexity,CalculatedDV01,Price_Diff,Macaulay_Diff,Modified_Diff,Convexity_Diff,DV01_Diff,MV_Weight_Calc,DV01_Total,KRD_3M,KRD_6M,KRD_1Y,KRD_2Y,KRD_3Y,KRD_5Y,KRD_7Y,KRD_10Y,KRD_20Y,KRD_30Y,KRD_Sum,KRD_Difference,Pnl_-200bps,Pnl_-100bps,Pnl_-50bps,Pnl_50bps,Pnl_100bps,Pnl_200bps
ZTFI-0001,IN1043321819,Government of India,Government,SOV,INR,100,0.062,2,Fixed,2024-02-24,2027-02-23,2024-10-31,2.3135,3,0.0674,99.0052,0.0411,99.3134,1.9111,1.8488,4.4027,0.0183,1.8488,4.4027,0,0,8,2-3Y,100000,99005.2,99005.2,0.003088,False,,False,False,IN10YT,0.9207,-0.9098,1.8522,-1.8086,3.748,-3.5736,99.00520039031751,1.9110868658477316,1.8487828827007173,4.4026934519023,0.01830391197799734,3.9031750986850966e-07,-1.3134152268445831e-05,-1.7117299282665144e-05,-6.548097700509459e-06,3.911977997338167e-06,0.003088185270299823,1830.0,0.0,0.0,0.0,1.2692012000000001,0.5795987999999997,0.0,0.0,0.0,0.0,0.0,1.8487999999999998,-2.220446049250313e-16,3747.994314008,1852.202647302,920.6526962255001,-909.7554413744999,-1808.613627898,-3573.638236392
ZTFI-0002,IN7940265423,Government of India,Government,SOV,INR,100,0.0773,2,Fixed,2022-11-08,2045-11-02,2024-10-31,21.0048,23,0.069,109.1347,1.6378,110.3014,11.1303,10.7591,170.9441,0.1174,10.7591,170.9441,0,0,-4,20Y+,20000,21826.94,21826.94,0.000681,False,,False,False,IN10YT,6.1042,-5.6378,12.6747,-10.8091,27.215,-19.7526,109.13465440475545,11.13031231624701,10.75912258699566,170.94409294248538,0.117419312523017,-4.559524454350594e-05,1.2316247010701886e-05,2.2586995660489606e-05,-7.057514608277415e-06,1.9312523016998262e-05,0.0006808292352696425,2348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.678025632,1.0810743679999995,10.7591,0.0,5443.0019258908005,2534.9416322427,1220.830983445675,-1127.551318094325,-2161.8229708373,-3950.5272802691998
ZTFI-0003,IN7816184959,Government of India,Government,SOV,INR,100,0.0555,2,Fixed,2024-02-08,2030-02-06,2024-10-31,5.2676,6,0.0674,95.019,1.367,96.2058,4.4165,4.2725,21.7752,0.0406,4.2725,21.7752,0,0,-2,5-7Y,20000,19003.8,19003.8,0.000593,False,,False,False,IN10YT,2.0557,-2.004,4.1631,-3.9562,8.5332,-7.7056,95.01903661666373,4.416548716925108,4.272563332615951,21.77523064345437,0.040597485174884984,3.6616663720678844e-05,4.871692510821646e-05,6.333261595070638e-05,3.064345436953886e-05,-2.5148251150131085e-06,0.0005927694226133958,811.9999999999999,0.0,0.0,0.0,0.0,0.0,3.7008395000000003,0.5716604999999997,0.0,0.0,0.0,4.2725,0.0,1706.637019152,832.627932288,411.14132182199995,-400.796033178,-791.2467777119999,-1541.1124008479999
ZTFI-0004,IN4752553419,Government of India,Government,SOV,INR,100,0.0681,2,Fixed,2013-10-08,2049-09-29,2024-10-31,24.9117,36,0.0667,101.6783,0.4596,103.2538,12.3379,11.9397,215.5283,0.1214,11.9397,215.5283,0,0,2,20Y+,50000,50839.15,50839.15,0.001586,False,,False,False,IN10YT,6.344,-5.7961,13.2358,-11.0444,28.6631,-19.8973,101.67834259598803,12.33786331421044,11.939675148023845,215.5283041326875,0.12140063801855727,4.2595988034577204e-05,-3.668578955995372e-05,-2.4851976155204625e-05,4.1326875077629666e-06,6.38018557277964e-07,0.0015857825062174842,6069.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075277551,5.864422449,11.9397,0.0,14331.539099689,6617.905771197251,3171.986940936813,-2898.0550516131875,-5522.17821390275,-9948.628870511002
ZTFI-0005,IN5030564139,Government of India,Government,SOV,INR,100,0.075,2,Fixed,2021-04-03,2043-03-29,2024-10-31,18.4066,22,0.0702,104.8627,0.8603,105.3594,10.3448,9.994,142.4173,0.1048,9.994,142.4173,0,0,2,15-20Y,200000,209725.4,209725.4,0.006542,False,,False,False,IN10YT,5.4267,-5.0533,11.2267,-9.7333,23.9468,-17.9731,104.86272545285175,10.344758530860657,9.993970177625986,142.41726651745716,0.10479949509203819,2.5452851744489635e-05,-4.1469139341998584e-05,-2.9822374013832587e-05,-3.3482542846741126e-05,-5.049079618152374e-07,0.006541786604014117,20960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5924439599999993,8.401556040000001,0.0,9.994,0.0,47893.617993884,22453.382736471,10853.33480311775,-10106.62167288225,-19466.530215528997,-35946.207910116
ZTFI-0006,IN8849696532,Government of India,Government,SOV,INR,100,0.0645,2,Fixed,2019-10-21,2026-10-19,2024-10-31,1.9658,7,0.074,98.6743,1.0118,99.9515,1.4533,1.4014,2.6741,0.0138,1.4014,2.6741,0,0,8,1-2Y,10000,9867.43,9867.43,0.000308,False,,False,False,IN10YT,0.6947,-0.6881,1.396,-1.3696,2.8184,-2.7129,98.67429033821105,1.4532865372049246,1.4014334977868126,2.67407577032624,0.013828545585031061,-9.661788951120798e-06,-1.3462795075414036e-05,3.349778681260851e-05,-2.422967376025653e-05,2.8545585031061402e-05,0.00030778637871257855,137.99999999999997,0.0,0.0,0.04792788000000001,1.35347212,0.0,0.0,0.0,0.0,0.0,0.0,1.4014,0.0,281.84162695260005,139.60148874815002,69.47091319203751,-68.8112508279625,-136.96283929185,-271.2870291274
ZTFI-0007,IN1669784801,Government of India,Government,SOV,INR,100,0.0694,2,Fixed,2013-06-15,2049-06-06,2024-10-31,24.5969,36,0.0731,95.8101,0.1935,96.5644,11.854,11.436,201.833,0.1096,11.436,201.833,0,0,9,20Y+,20000,19162.02,19162.02,0.000598,False,,False,False,IN10YT,5.7201,-5.2367,11.9237,-9.99,25.7812,-18.0462,95.81012997198758,11.853975362309587,11.435989930355106,201.83300161358414,0.1095683681585664,2.9971987572707803e-05,-2.4637690412276925e-05,-1.0069644893917484e-05,1.613584146298308e-06,-3.163184143360753e-05,0.000597704644939767,2192.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.178985159999998,5.257014840000002,11.436,0.0,5156.242810932,2384.745006333,1144.0284033832502,-1047.34020381675,-1997.9922080670003,-3609.2316178680003
ZTFI-0008,IN4828148932,Government of India,Government,SOV,INR,100,0.0607,2,Fixed,2018-05-28,2030-05-25,2024-10-31,5.5633,12,0.0732,94.4229,1.3938,95.3318,4.7315,4.5644,25.0647,0.0431,4.5644,25.0647,0,0,10,5-7Y,100000,94422.9,94422.9,0.002945,False,,False,False,IN10YT,2.1845,-2.1253,4.4282,-4.1915,9.093,-8.1463,94.42291054642189,4.731535527693298,4.564475716470478,25.06469569399436,0.0430991082267607,1.0546421890467172e-05,3.552769329839833e-05,7.571647047832641e-05,-4.306005639165278e-06,-8.917732393018407e-07,0.0029452534711206396,4309.999999999999,0.0,0.0,0.0,0.0,0.0,3.27883674,1.2855632599999998,0.0,0.0,0.0,4.5644,0.0,9093.014027526,4428.1729306815,2184.5029445703753,-2125.335903029625,-4191.5047645185,-8146.341362874001
ZTFI-0009,IN1543039117,Government of India,Government,SOV,INR,100,0.0733,2,Fixed,2013-03-28,2049-03-19,2024-10-31,24.3806,36,0.0663,108.3514,1.7351,108.654,12.0883,11.7004,206.5622,0.1268,11.7004,206.5622,0,0,8,20Y+,50000,54175.7,54175.7,0.00169,False,,False,False,IN10YT,6.6185,-6.059,13.7966,-11.5585,29.8314,-20.8788,108.35137458934763,12.088279189756728,11.70041057906086,206.56216473754594,0.1267755569500989,-2.5410652369828313e-05,-2.08102432726065e-05,1.0579060859328138e-05,-3.5262454048279324e-05,-2.4443049901096137e-05,0.0016898566817518889,6340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.574922775999998,5.125477224000002,11.7004,0.0,14915.677561307999,6898.306191727,3309.2699486317497,-3029.50365416825,-5779.241013872999,-10439.416849891999
ZTFI-0010,IN8346578713,Government of India,Government,SOV,INR,100,0.0564,2,Fixed,2024-01-12,2047-01-06,2024-10-31,22.1821,23,0.0708,84.0622,0.3105,84.1623,12.0116,11.6009,197.3753,0.0975,11.6009,197.3753,0,0,-4,20Y+,100000,84062.2,84062.2,0.002622,False,,False,False,IN10YT,5.0834,-4.6686,10.5816,-8.9224,22.8223,-16.1856,84.06220744031518,12.011566404887041,11.600894731395634,197.37528015509892,0.09751968194038392,7.440315172857481e-06,-3.359511295819573e-05,-5.268604365227247e-06,-1.984490108952741e-05,1.968194038391713e-05,0.002622080939475884,9750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.069467611000002,2.531432388999998,11.6009,0.0,22822.303908332,10581.561856983,5083.38340419575,-4668.58835560425,-8922.381662617,-16185.583130867999
