ScenarioID,ParallelShift_bps,TwistFactor_bps,ButterflyFactor_bps,PnL_DurationEffect_INR,PnL_ConvexityEffect_INR,PnL_Total_INR,PnL_Pct,VaR_Contribution,YieldChange,PortfolioPnL_INR,Loss_INR,PnL_Bucket,VaR95_Breach,VaR99_Breach
866,299.21,-29.88,-26.84,-4031810.81,632306.9,-3399503.91,-10.6038,3399503.91,0.029921,-3399525.939193036,3399525.939193036,"(-3408873.99, -2932123.404]",True,True
447,287.87,6.46,-9.38,-3879027.35,585292.98,-3293734.37,-10.2739,3293734.37,0.028787,-3293740.920144486,3293740.920144486,"(-3408873.99, -2932123.404]",True,True
548,278.7,87.55,-18.61,-3755455.28,548596.23,-3206859.05,-10.0029,3206859.05,0.02787,-3206870.3528267625,3206870.3528267625,"(-3408873.99, -2932123.404]",True,True
445,259.51,-16.29,34.03,-3496840.25,475640.93,-3021199.32,-9.4238,3021199.32,0.025951,-3021233.0631892383,3021233.0631892383,"(-3408873.99, -2932123.404]",True,True
271,250.23,66.97,-2.63,-3371831.55,442241.38,-2929590.18,-9.138,2929590.18,0.025023,-2929595.596701438,2929595.596701438,"(-2932123.404, -2464720.868]",True,True
796,248.33,64.99,72.65,-3346275.2,435562.96,-2910712.24,-9.0791,2910712.24,0.024833,-2910683.586013664,2910683.586013664,"(-2932123.404, -2464720.868]",True,True
700,247.96,-44.76,-45.62,-3341276.95,434262.75,-2907014.2,-9.0676,2907014.2,0.024796000000000002,-2906994.788673195,2906994.788673195,"(-2932123.404, -2464720.868]",True,True
418,246.84,61.77,-9.18,-3326204.85,430353.77,-2895851.07,-9.0328,2895851.07,0.024684,-2895816.912915353,2895816.912915353,"(-2932123.404, -2464720.868]",True,True
871,240.22,-40.39,15.0,-3236900.43,407555.08,-2829345.35,-8.8253,2829345.35,0.024021999999999998,-2829385.790203942,2829385.790203942,"(-2932123.404, -2464720.868]",True,True
241,217.89,-0.12,4.6,-2936086.23,335324.47,-2600761.77,-8.1123,2600761.77,0.021789,-2600740.372926347,2600740.372926347,"(-2932123.404, -2464720.868]",True,True
